"","Year","County","NumZeroDays"
"474",1982,"F13073",101
"475",1982,"F13075",96
"476",1982,"F13077",110
"477",1982,"F13079",107
"478",1982,"F13081",109
"479",1982,"F13083",103
"480",1982,"F13085",101
"481",1982,"F13087",94
"482",1982,"F13089",106
"483",1982,"F13091",100
"484",1982,"F13093",107
"485",1982,"F13095",97
"486",1982,"F13097",87
"487",1982,"F13099",94
"488",1982,"F13101",90
"489",1982,"F13103",90
"490",1982,"F13105",112
"491",1982,"F13107",105
"492",1982,"F13109",97
"493",1982,"F13111",86
"494",1982,"F13113",108
"495",1982,"F13115",104
"496",1982,"F13117",108
"497",1982,"F13119",103
"498",1982,"F13121",90
"499",1982,"F13123",94
"500",1982,"F13125",113
"501",1982,"F13127",74
"502",1982,"F13129",113
"503",1982,"F13131",88
"504",1982,"F13133",111
"505",1982,"F13135",109
"506",1982,"F13137",92
"507",1982,"F13139",101
"508",1982,"F13141",95
"509",1982,"F13143",96
"510",1982,"F13145",110
"511",1982,"F13147",108
"512",1982,"F13149",97
"513",1982,"F13151",114
"514",1982,"F13153",99
"515",1982,"F13155",88
"516",1982,"F13157",100
"517",1982,"F13159",115
"518",1982,"F13161",85
"519",1982,"F13163",105
"520",1982,"F13165",109
"521",1982,"F13167",106
"522",1982,"F13169",103
"523",1982,"F13171",116
"524",1982,"F13173",100
"525",1982,"F13175",105
"526",1982,"F13177",96
"527",1982,"F13179",84
"528",1982,"F13181",111
"529",1982,"F13183",91
"530",1982,"F13185",100
"531",1982,"F13187",100
"532",1982,"F13189",101
"533",1982,"F13191",75
"534",1982,"F13193",109
"535",1982,"F13195",100
"536",1982,"F13197",107
"537",1982,"F13199",110
"538",1982,"F13201",99
"539",1982,"F13205",94
"540",1982,"F13207",109
"541",1982,"F13209",96
"542",1982,"F13211",116
"543",1982,"F13213",93
"544",1982,"F13215",109
"545",1982,"F13217",119
"546",1982,"F13219",112
"547",1982,"F13221",107
"548",1982,"F13223",86
"549",1982,"F13225",110
"550",1982,"F13227",104
"551",1982,"F13229",91
"552",1982,"F13231",108
"553",1982,"F13233",105
"554",1982,"F13235",105
"555",1982,"F13237",104
"556",1982,"F13239",108
"557",1982,"F13241",83
"558",1982,"F13243",104
"559",1982,"F13245",103
"560",1982,"F13247",113
"561",1982,"F13249",102
"562",1982,"F13251",99
