"","Year","County","NumDays"
"332",1982,"F13055",5
"333",1982,"F13057",10
"334",1982,"F13059",5
"335",1982,"F13061",7
"336",1982,"F13063",4
"337",1982,"F13065",6
"338",1982,"F13067",8
"339",1982,"F13069",9
"340",1982,"F13071",13
"341",1982,"F13073",6
"342",1982,"F13075",7
"343",1982,"F13077",9
"344",1982,"F13079",6
"345",1982,"F13081",9
"346",1982,"F13083",4
"347",1982,"F13085",8
"348",1982,"F13087",16
"349",1982,"F13089",6
"350",1982,"F13091",8
"351",1982,"F13093",3
"352",1982,"F13095",9
"353",1982,"F13097",6
"354",1982,"F13099",11
"355",1982,"F13101",8
"356",1982,"F13103",6
"357",1982,"F13105",5
"358",1982,"F13107",6
"359",1982,"F13109",7
"360",1982,"F13111",11
"361",1982,"F13113",4
"362",1982,"F13115",7
"363",1982,"F13117",8
"364",1982,"F13119",5
"365",1982,"F13121",8
"366",1982,"F13123",11
"367",1982,"F13125",5
"368",1982,"F13127",13
"369",1982,"F13129",6
"370",1982,"F13131",8
"371",1982,"F13133",9
"372",1982,"F13135",8
"373",1982,"F13137",8
"374",1982,"F13139",8
"375",1982,"F13141",6
"376",1982,"F13143",4
"377",1982,"F13145",10
"378",1982,"F13147",5
"379",1982,"F13149",8
"380",1982,"F13151",4
"381",1982,"F13153",4
"382",1982,"F13155",4
"383",1982,"F13157",5
"384",1982,"F13159",8
"385",1982,"F13161",8
"386",1982,"F13163",7
"387",1982,"F13165",9
"388",1982,"F13167",5
"389",1982,"F13169",6
"390",1982,"F13171",7
"391",1982,"F13173",9
"392",1982,"F13175",8
"393",1982,"F13177",9
"394",1982,"F13179",15
"395",1982,"F13181",4
"396",1982,"F13183",14
"397",1982,"F13185",9
"398",1982,"F13187",8
"399",1982,"F13189",5
"400",1982,"F13191",11
"401",1982,"F13193",5
"402",1982,"F13195",6
"403",1982,"F13197",8
"404",1982,"F13199",11
"405",1982,"F13201",8
"406",1982,"F13205",10
"407",1982,"F13207",11
"408",1982,"F13209",7
"409",1982,"F13211",11
"410",1982,"F13213",4
"411",1982,"F13215",7
"412",1982,"F13217",7
"413",1982,"F13219",8
"414",1982,"F13221",8
"415",1982,"F13223",6
"416",1982,"F13225",3
"417",1982,"F13227",11
"418",1982,"F13229",8
"419",1982,"F13231",5
"420",1982,"F13233",5
"421",1982,"F13235",5
"422",1982,"F13237",6
"423",1982,"F13239",5
"424",1982,"F13241",9
"425",1982,"F13243",10
"426",1982,"F13245",6
"427",1982,"F13247",5
"428",1982,"F13249",4
"429",1982,"F13251",6
"430",1982,"F13253",8
"431",1982,"F13255",3
"432",1982,"F13257",11
"433",1982,"F13259",8
"434",1982,"F13261",9
"435",1982,"F13263",6
"436",1982,"F13265",4
"437",1982,"F13267",6
"438",1982,"F13269",7
"439",1982,"F13271",7
"440",1982,"F13273",5
"441",1982,"F13275",7
"442",1982,"F13277",5
"443",1982,"F13279",5
"444",1982,"F13281",10
"445",1982,"F13283",5
"446",1982,"F13285",8
"447",1982,"F13287",3
"448",1982,"F13289",8
"449",1982,"F13291",11
"450",1982,"F13293",8
"451",1982,"F13295",4
"452",1982,"F13297",8
"453",1982,"F13299",8
"454",1982,"F13301",3
"455",1982,"F13303",7
"456",1982,"F13305",12
"457",1982,"F13307",8
"458",1982,"F13309",6
"459",1982,"F13311",10
"460",1982,"F13313",6
"461",1982,"F13315",5
"462",1982,"F13317",7
"463",1982,"F13319",7
"464",1982,"F13321",10
"465",1982,"F37001",8
"466",1982,"F37003",8
"467",1982,"F37005",9
"468",1982,"F37007",6
"469",1982,"F37009",10
"470",1982,"F37011",9
"471",1982,"F37013",7
"472",1982,"F37015",9
"473",1982,"F37017",7
"474",1982,"F37019",6
"475",1982,"F37021",11
"476",1982,"F37023",12
"477",1982,"F37025",7
"478",1982,"F37027",9
"479",1982,"F37029",14
"480",1982,"F37031",7
"481",1982,"F37033",12
"482",1982,"F37035",7
"483",1982,"F37037",6
"484",1982,"F37039",8
"485",1982,"F37041",10
"486",1982,"F37043",8
"487",1982,"F37045",6
"488",1982,"F37047",5
"489",1982,"F37049",8
"490",1982,"F37051",5
"491",1982,"F37053",13
"492",1982,"F37055",9
"493",1982,"F37057",11
"494",1982,"F37059",11
"495",1982,"F37061",11
"496",1982,"F37063",10
"497",1982,"F37065",7
"498",1982,"F37067",9
"499",1982,"F37069",7
"500",1982,"F37071",6
"501",1982,"F37073",11
"502",1982,"F37075",7
"503",1982,"F37077",13
"504",1982,"F37079",10
"505",1982,"F37081",12
"506",1982,"F37083",9
"507",1982,"F37085",5
"508",1982,"F37087",11
"509",1982,"F37089",13
"510",1982,"F37091",8
"511",1982,"F37093",5
"512",1982,"F37095",5
"513",1982,"F37097",11
"514",1982,"F37099",10
"515",1982,"F37101",8
"516",1982,"F37103",6
"517",1982,"F37105",4
"518",1982,"F37107",6
"519",1982,"F37109",8
"520",1982,"F37111",10
"521",1982,"F37113",8
"522",1982,"F37115",8
"523",1982,"F37117",8
"524",1982,"F37119",5
"525",1982,"F37121",11
"526",1982,"F37123",7
"527",1982,"F37125",5
"528",1982,"F37127",8
"529",1982,"F37129",9
"530",1982,"F37131",6
